"transaction_id","Transaction ID"
"deferred","Deferred"
"merchant_ref","Merchant Reference #"
"merchant_description","Merchant Description"
"type","Type"
"amount","Amount"
"status","Status"
"currency","Currency"
"transaction_time","Transaction Time"
"received_time","Received Time"
"channel","Channel"
